NAT 3 FRAMES 12
1
    1  1          0.0000   0.8141   0.1336   0.0011   2.9176
	2  2		  0.0829   0.0050   0.7436   0.0010   1.4340
	3  2		  0.7312   0.0050   0.5988   0.0007   1.0591
2
    1  1          0.0000   0.8905   0.1327   0.0011   2.9233
	2  2		  0.0906   0.0061   0.7274   0.0010   1.4188
	3  2		  0.7999   0.0061   0.6015   0.0007   1.2040
3
    1  1          0.0000   0.9602   0.1572   0.0009   2.9254
	2  2		  0.1634   0.0092   0.6924   0.0007   1.4212
	3  2		  0.7968   0.0092   0.6404   0.0008   1.3503
4
    1  1          0.0000   1.0235   0.1667   0.0009   2.9751
	2  2		  0.2069   0.0112   0.6426   0.0009   1.3007
	3  2		  0.8166   0.0112   0.7178   0.0006   1.4023
5
    1  1          0.0000   1.0156   0.1486   0.0008   2.9459
	2  2		  0.2665   0.0116   0.5688   0.0007   1.2175
	3  2		  0.7491   0.0116   0.6954   0.0006   1.5018
6
    1  1          0.0000   0.9786   0.1818   0.0012   2.9417
	2  2		  0.3596   0.0115   0.5981   0.0010   1.1912
	3  2		  0.6190   0.0115   0.7144   0.0007   1.4740
7
    1  1          0.0000   1.0089   0.1594   0.0009   2.9360
	2  2		  0.4891   0.0124   0.5882   0.0009   1.2141 
	3  2		  0.5198   0.0124   0.6729   0.0006   1.4508
8
    1  1          0.0000   0.9355   0.1503   0.0010   2.9715
	2  2		  0.5232   0.0109   0.5788   0.0010   1.1887
	3  2		  0.4123   0.0109   0.7059   0.0006   1.5428
9
    1  1          0.0000   0.8236   0.1515   0.0009   2.9703
	2  2		  0.5295   0.0088   0.5792   0.0009   1.2277
	3  2		  0.2941   0.0088   0.7454   0.0005   1.5164
10
    1  1          0.0000   0.8100   0.1520   0.0009   2.9887
	2  2		  0.6426   0.0070   0.6134   0.0008   1.2507
	3  2		  0.1675   0.0070   0.7593   0.0005   1.4876
11
    1  1          0.0000   0.9121   0.1496   0.0006   2.9362
	2  2		  0.7758   0.0083   0.5969   0.0008   1.2332
	3  2		  0.1362   0.0083   0.7620   0.0005   1.5268
12
    1  1          0.0000   1.0056   0.1502   0.0006   2.9401 
	2  2		  0.8758   0.0094   0.5940   0.0008   1.3485
	3  2		  0.1298   0.0094   0.7613   0.0005   1.5316
